HUC06_Name,Below 33rd Percentile,Between 33rd and 67th Percentile,Above 67th Percentile
Spokane,30.7692307692308,42.3076923076923,53.8461538461538
Snake Headwaters,42.3076923076923,19.2307692307692,53.8461538461538
Clearwater,53.8461538461538,30.7692307692308,42.3076923076923
Middle Snake-Powder,19.2307692307692,-3.84615384615385,7.69230769230769
Deschutes,30.7692307692308,30.7692307692308,42.3076923076923
Lower Snake,42.3076923076923,42.3076923076923,42.3076923076923
Middle Snake-Boise,30.7692307692308,-26.9230769230769,7.69230769230769
Kootenai,30.7692307692308,7.69230769230769,42.3076923076923
Pend Oreille,30.7692307692308,-26.9230769230769,30.7692307692308
Upper Columbia,30.7692307692308,30.7692307692308,42.3076923076923
Yakima,30.7692307692308,42.3076923076923,42.3076923076923
Upper Snake,19.2307692307692,-26.9230769230769,-15.3846153846154
John Day,53.8461538461538,42.3076923076923,42.3076923076923
Northern Oregon Coastal,30.7692307692308,19.2307692307692,65.3846153846154
Washington Coastal,42.3076923076923,42.3076923076923,53.8461538461538
Oregon Closed Basins,19.2307692307692,7.69230769230769,19.2307692307692
Middle Columbia,30.7692307692308,19.2307692307692,30.7692307692308
Puget Sound,30.7692307692308,42.3076923076923,76.9230769230769
Lower Columbia,42.3076923076923,19.2307692307692,42.3076923076923
Willamette,42.3076923076923,19.2307692307692,42.3076923076923
Southern Oregon Coastal,19.2307692307692,7.69230769230769,42.3076923076923
Salmon,42.3076923076923,-3.84615384615385,42.3076923076923
